participant,p_ad_survey,ad_over_index,n_ad_top_trials,mean_ad_area_frac,regression_rate,mean_lhipa,mean_fixations,tercile,p_ad_click,p_dd_top_click,p_native_ad_click,mean_click_pos,n_clicks,n_ad_clicks
p041,0.5483870967741935,1.7329477795873989,25.0,0.3164475601825464,0.375,0.0736198886791109,44.892857142857146,low,0.37735849056603776,0.32075471698113206,0.05660377358490566,1.8679245283018868,53,20
p042,0.775,2.5981363006054923,32.0,0.29829074010450773,0.7833333333333333,0.04141043689711658,92.76666666666667,mid,0.08333333333333333,0.03333333333333333,0.05,2.8833333333333333,60,5
p043,0.49444444444444446,1.7405501230207097,36.0,0.28407366033581405,0.40350877192982454,0.0370897063842724,126.10526315789474,low,0.2631578947368421,0.19298245614035087,0.07017543859649122,1.5964912280701755,57,15
p044,0.8054054054054054,2.7210041291597524,37.0,0.2959956571819371,0.7,0.04257609877332424,124.15,high,0.576271186440678,0.15254237288135594,0.423728813559322,3.3728813559322033,59,34
p045,0.7333333333333333,2.463181510866609,39.0,0.29771794327707835,0.8214285714285714,0.03830179196203541,151.03571428571428,mid,0.16071428571428573,0.08928571428571429,0.07142857142857142,2.2857142857142856,56,9
p046,0.5176470588235295,1.8164939375958387,34.0,0.2849704301841185,0.4827586206896552,0.04353148710234586,75.82758620689656,low,0.06896551724137931,0.017241379310344827,0.05172413793103448,2.810344827586207,58,4
p047,0.5666666666666667,1.891435568981746,30.0,0.2995960718723988,0.4482758620689655,0.03500283168335706,104.75862068965517,low,0.10714285714285714,0.0,0.10714285714285714,3.0714285714285716,56,6
p048,0.7513513513513513,2.4785009591912486,37.0,0.30314749266690716,0.55,0.03914714512810015,110.18333333333334,mid,0.38333333333333336,0.26666666666666666,0.11666666666666667,1.5333333333333334,60,23
p049,0.71875,2.2415316235781964,32.0,0.3206512870216155,0.35,0.056655487128980296,44.56666666666667,mid,0.034482758620689655,0.034482758620689655,0.0,2.2241379310344827,58,2
p050,0.8914285714285715,3.0981121299333045,35.0,0.28773283020190815,0.9333333333333333,0.040075162066806246,90.48333333333333,high,0.4,0.31666666666666665,0.08333333333333333,2.0166666666666666,60,24
